slug,acao,subtopico_sugerido,confianca,cluster_tematico,racional
lj-assessoria-geral-doencas-parasitarias-e-zoonoses-1777103502990-2,MOVER,"Doenças Parasitárias e Zoonoses",0.93,"Zoonoses (reclassificar?)","Doença de Lyme"
adm-tec-enfermagem-semiologia-em-enfermagem-1779563517223-6,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.9,"Tétano — profilaxia e imunização","Quadro compatível com meningite bacteriana"
amauc-enfermagem-processo-de-enfermagem-1780004982901-7,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.96,"Outros / tema misto","Hanseníase — pele e nervos"
amauc-enfermagem-processo-de-enfermagem-1780005128081-4,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.95,"Tuberculose — controle, TDO e vigilância","Vigilância tuberculose"
ameosc-enfermagem-doencas-bacterianas-e-fungicas-tuberculose-tetano-candidiase-etc-1777103487024-5,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.88,"Tuberculose — controle, TDO e vigilância","Cluster temático: Tuberculose — controle, TDO e vigilância"
cebraspe-cespe-enfermagem-doencas-bacterianas-e-fungicas-tuberculose-tetano-candidiase-etc-1776576853681-0,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.95,"Meningite bacteriana","Meningocócica"
cogeps-unioeste-enfermagem-doencas-bacterianas-e-fungicas-tuberculose-tetano-candidiase-etc-1777103487024-0,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.88,"Tuberculose — controle, TDO e vigilância","Cluster temático: Tuberculose — controle, TDO e vigilância"
cogeps-unioeste-enfermagem-doencas-bacterianas-e-fungicas-tuberculose-tetano-candidiase-etc-1777103487024-1,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.96,"Hanseníase — transmissão e PQT","Hanseníase — transmissão"
cpcon-uepb-enfermagem-semiologia-em-enfermagem-1779563491765-4,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.88,"Tuberculose — controle, TDO e vigilância","Mancha hipocrômica — suspeita hanseníase"
cpcon-uepb-enfermagem-semiologia-em-enfermagem-1779563500147-4,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.9,"Tuberculose — controle, TDO e vigilância","Tosse hemoptoica — suspeita TB"
fafipa-enfermagem-epidemiologia-e-vigilancia-epidemiologica-1779563789263-9,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.92,"Outros / tema misto","Coqueluche — Bordetella (bacteriana)"
fenix-instituto-enfermagem-processo-de-enfermagem-1780006480333-6,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.9,"Tuberculose — controle, TDO e vigilância","Vigilância tosse persistente — TB"
fundatec-enfermagem-urgencias-e-emergencias-1777104056718-8,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.94,"Meningite bacteriana","Meningite bacteriana — tema central"
grupo-talent-enfermagem-processo-de-enfermagem-1780009359555-2,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.93,"Tuberculose — controle, TDO e vigilância","Hanseníase na APS"
gualimp-enfermagem-doencas-bacterianas-e-fungicas-tuberculose-tetano-candidiase-etc-1777103487024-2,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.88,"Bacterioses — conceito geral","Sinal infeccioso — hiperpirexia"
gualimp-enfermagem-doencas-bacterianas-e-fungicas-tuberculose-tetano-candidiase-etc-1777103487024-3,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.94,"Tuberculose — controle, TDO e vigilância","Shigella/E.coli GI"
ibgp-enfermagem-doencas-bacterianas-e-fungicas-tuberculose-tetano-candidiase-etc-1776576839192-0,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.98,"Agente etiológico — bactéria × vírus × fungo","Agente etiológico — todas bactérias (handcraft aplicado)"
idecan-enfermagem-coleta-de-exames-laboratoriais-1778712165781-4,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.88,"Tuberculose — controle, TDO e vigilância","Diagnóstico TB — papel do técnico (programa, não técnica lab)"
idecan-enfermagem-infeccoes-sexualmente-transmissiveis-ists-1778712294130-2,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.94,"Tuberculose — controle, TDO e vigilância","Tuberculose — conteúdo central"
idecan-enfermagem-infeccoes-sexualmente-transmissiveis-ists-1778712294130-3,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.96,"Agente etiológico — bactéria × vírus × fungo","Hanseníase — assertivas V/F"
idecan-enfermagem-infeccoes-sexualmente-transmissiveis-ists-1778712294130-4,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.94,"Tuberculose — controle, TDO e vigilância","Transmissão TB pulmonar"
idecan-enfermagem-procedimentos-diversos-1778712203076-2,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.92,"Tuberculose — controle, TDO e vigilância","TDO na APS"
idib-enfermagem-doencas-bacterianas-e-fungicas-tuberculose-tetano-candidiase-etc-1778934909266-4,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.96,"Tuberculose — controle, TDO e vigilância","PQT hanseníase"
idib-enfermagem-nocoes-de-fisiologia-1778934957741-4,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.9,"Tuberculose — controle, TDO e vigilância","Teste rápido hanseníase"
igeduc-enfermagem-curativos-e-manejo-de-feridas-1779344751294-8,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.85,"Outros / tema misto","Bacterioses na APS — permanece no bucket"
igeduc-enfermagem-doencas-bacterianas-e-fungicas-tuberculose-tetano-candidiase-etc-1780001148264-4,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.94,"Agente etiológico — bactéria × vírus × fungo","Bacterioses — transmissão/prevenção"
instituto-access-enfermagem-exames-laboratoriais-1779563559434-3,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.9,"Tuberculose — controle, TDO e vigilância","Diagnóstico laboratorial TB — conteúdo programa"
instituto-aocp-enfermagem-processo-de-enfermagem-1780005540776-6,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.91,"IST (reclassificar?)","ILTB — investigação"
instituto-consulplan-enfermagem-doencas-bacterianas-e-fungicas-tuberculose-tetano-candidiase-etc-1777103487024-4,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.95,"Candidíase e micoses","Candidíase bucal"
instituto-consulplan-enfermagem-semiologia-em-enfermagem-1779563531989-2,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.93,"Meningite bacteriana","Meningite bacteriana — prevalência etiológica"
instituto-verbena-enfermagem-processo-de-enfermagem-1780008210115-4,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.88,"Outros / tema misto","Indicadores hanseníase <15 anos"
instituto-verbena-enfermagem-semiologia-em-enfermagem-1779563505333-8,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.92,"Tuberculose — controle, TDO e vigilância","TB prioritária Brasil"
isba-enfermagem-exames-complementares-1779563685104-3,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.92,"Tuberculose — controle, TDO e vigilância","TB infectocontagiosa — conceito"
legalle-enfermagem-processo-de-enfermagem-1780010585356-9,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.97,"Bactérias do trato gastrointestinal","Cólera — Vibrio"
legalle-enfermagem-processo-de-enfermagem-1780011879977-5,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.97,"Agente etiológico — bactéria × vírus × fungo","Candidíase — Candida"
metrocapital-enfermagem-promocao-a-saude-e-prevencao-de-agravos-1779563927625-5,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.93,"Tuberculose — controle, TDO e vigilância","Estratégia Fim da TB MS"
ms-sarmento-enfermagem-processo-de-enfermagem-1780008210115-8,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.96,"Hanseníase — transmissão e PQT","Formas clínicas hanseníase"
vunesp-enfermagem-semiologia-em-enfermagem-1779563495719-2,MANTER,"Doenças Bacterianas e Fúngicas (Tuberculose, Tétano, Candidíase etc.)",0.91,"Tuberculose — controle, TDO e vigilância","Busca ativa TB no cuidado"
